Gauge,Gauge Address,User,User VE weight %,Vote % used,Snapshot timestamp
70SHDB-15CHAM-15BNB-gauge,0xb49e0053C1d6ccF4250FCD21F3906f624727b722,0xbB90c09dfc7CAe4a45e03Bc881a706Fdb36890e3,0.00004641271157316232,18%,
70SHDB-15CHAM-15BNB-gauge,0xb49e0053C1d6ccF4250FCD21F3906f624727b722,0xcB4f9A94363D688E11f5F3d87814aA492092ff97,0.00005867308127891942,2%,
70SHDB-15CHAM-15BNB-gauge,0xb49e0053C1d6ccF4250FCD21F3906f624727b722,0x25270EEae3ad2c6780Bda16Dd24933d416454B01,0.00011615652766794194,10%,
70SHDB-15CHAM-15BNB-gauge,0xb49e0053C1d6ccF4250FCD21F3906f624727b722,0x68a0187089E2d1addeE1FF35c4B0a7B5988931Ea,0.0018896012289335274,100%,
