Gauge,Gauge Address,User,User VE weight %,Vote % used,Snapshot timestamp
70SRN-30ETH-gauge,0x9E7dF5b7B29d46B10C28b4AB5fb0E7b6A4ffAE55,0x771D1A7D23D30F9030bC607a559Ce3e7496D8422,0.00024566790544479437,10%,
70SRN-30ETH-gauge,0x9E7dF5b7B29d46B10C28b4AB5fb0E7b6A4ffAE55,0x891eFc56f5CD6580b2fEA416adC960F2A6156494,0.00014121974173364186,1%,
70SRN-30ETH-gauge,0x9E7dF5b7B29d46B10C28b4AB5fb0E7b6A4ffAE55,0xe06500F6B2C463CB0fc384251ecC3e49001c696d,0.0011702505458594161,20%,
70SRN-30ETH-gauge,0x9E7dF5b7B29d46B10C28b4AB5fb0E7b6A4ffAE55,0xbC4E6A07646c564a333c971DEDaCDbC485fEe5a8,0.019184408289669535,10%,
70SRN-30ETH-gauge,0x9E7dF5b7B29d46B10C28b4AB5fb0E7b6A4ffAE55,0x1a94130D5C01115C1531ff7e255facc8a72Bc13B,0.0018907043736889949,100%,
70SRN-30ETH-gauge,0x9E7dF5b7B29d46B10C28b4AB5fb0E7b6A4ffAE55,0xC0d3e53762AcBe7F78f991373E035871f1d3cC5a,0.11618894689932537,10%,
