Gauge,Gauge Address,User,User VE weight %,Vote % used,Snapshot timestamp
70SHDB-15CHAM-15BNB-gauge,0xb49e0053C1d6ccF4250FCD21F3906f624727b722,0xb4ce1A933E85720aF0Df9A6889A63e1309E3984E,0.0003574947061174054,50%,"Thu, 16 Feb 2023 00:00:00 GMT"
70SHDB-15CHAM-15BNB-gauge,0xb49e0053C1d6ccF4250FCD21F3906f624727b722,0xB7BbEa1200426defa0b7b76E3D23CF3DFDfBF21A,0.0014657936255743605,100%,"Thu, 16 Feb 2023 00:00:00 GMT"
70SHDB-15CHAM-15BNB-gauge,0xb49e0053C1d6ccF4250FCD21F3906f624727b722,0x3Db931AF572B1389DFB712a9fbD2026C283B4910,0.016356406093111384,50%,"Thu, 16 Feb 2023 00:00:00 GMT"
